variables,units,values,description
sse_tune.tune_rosco.Cq_table,,"[[ 0.00135157  0.00205208  0.0027608   0.00347884  0.00421228  0.00497164
   0.00577065  0.00662548  0.00754958  0.00855284  0.00965098  0.01086611
   0.01224323  0.01402417  0.01653089  0.01868226  0.01966589  0.01965851
   0.01868495  0.01686529]
 [ 0.00213243  0.00303722  0.00397352  0.00495851  0.00601293  0.00715676
   0.00840285  0.00976803  0.01127755  0.01297834  0.01516261  0.01838905
   0.02111914  0.02215581  0.02188719  0.02041022  0.018004    0.01499315
   0.0116331   0.00804365]
 [ 0.00299581  0.0042049   0.00550383  0.00691918  0.00846728  0.01016729
   0.01204972  0.01418651  0.01698296  0.02104115  0.0239935   0.02470705
   0.02375518  0.02151077  0.01837586  0.014688    0.01069058  0.00647419
   0.00205962 -0.00257153]
 [ 0.00400476  0.00564783  0.00744812  0.00942338  0.01160346  0.01401985
   0.01690666  0.02106262  0.02559701  0.02703855  0.02622329  0.02388394
   0.02048114  0.01637685  0.01187731  0.00713167  0.00216545 -0.00305031
  -0.00853669 -0.01399163]
 [ 0.0052052   0.00738799  0.00978627  0.01241742  0.01521924  0.01876716
   0.02402624  0.02841699  0.02889092  0.02721242  0.02409612  0.01995945
   0.01516221  0.01000832  0.00460332 -0.00107156 -0.00707216 -0.01337638
  -0.01948849 -0.02476228]
 [ 0.00657614  0.00936732  0.01230462  0.01532019  0.01939556  0.02536757
   0.03008889  0.03034805  0.02835005  0.02484141  0.02023697  0.01492011
   0.00921493  0.00321707 -0.00311863 -0.00985615 -0.01696164 -0.02386509
  -0.02978521 -0.03438654]
 [ 0.00800925  0.011113    0.01424231  0.01862081  0.0249861   0.03071382
   0.03158877  0.02972185  0.02616123  0.02134462  0.01567795  0.00952176
   0.00300663 -0.0039185  -0.01131864 -0.01918929 -0.02702444 -0.03383217
  -0.03984047 -0.03882621]
 [ 0.00882405  0.01200386  0.01636641  0.02299003  0.02980855  0.03238185
   0.03114393  0.02790213  0.02316803  0.01736307  0.01088637  0.00395059
  -0.0034695  -0.01143758 -0.01998239 -0.02877893 -0.03677243 -0.04376005
  -0.04615285 -0.04360947]
 [ 0.00865539  0.01265673  0.01946528  0.02691729  0.03203799  0.03225109
   0.02976     0.02546589  0.01980692  0.01320501  0.00597636 -0.00182179
  -0.01024478 -0.01933374 -0.02896534 -0.0383082  -0.04633359 -0.05322385
  -0.05095306 -0.04989886]
 [ 0.00773111  0.01421342  0.02235116  0.02935178  0.03244553  0.03128898
   0.02786899  0.02272685  0.01629019  0.00895837  0.00092451 -0.00782007
  -0.01731521 -0.02755286 -0.03808903 -0.04767204 -0.05622797 -0.05979541
  -0.05723692 -0.05668968]
 [ 0.00717134  0.01609106  0.02406625  0.03045608  0.03189156  0.02987567
   0.02571005  0.01984082  0.0126974   0.0046171  -0.0042904  -0.01404411
  -0.02465997 -0.03601595 -0.0472519  -0.05708976 -0.06613098 -0.06515433
  -0.06395539 -0.06461707]
 [ 0.00745238  0.01712709  0.02489158  0.03051608  0.03084512  0.02820656
   0.02340778  0.01687578  0.00903957  0.00016599 -0.00967186 -0.02048388
  -0.03226233 -0.0446641  -0.05643985 -0.06687557 -0.07473166 -0.0723759
  -0.07196126 -0.07309677]
 [ 0.00769143  0.01694708  0.02517407  0.02986453  0.02952453  0.02638964
   0.02102171  0.01385869  0.00530962 -0.00440091 -0.01521769 -0.02713518
  -0.04010359 -0.05347556 -0.06572246 -0.07707928 -0.0824772  -0.08062351
  -0.080879   -0.08204304]
 [ 0.00720104  0.01601141  0.02492291  0.0287782   0.02803776  0.02448107
   0.01858005  0.01079423  0.00150385 -0.00908616 -0.0209278  -0.03400403
  -0.04816979 -0.06243982 -0.07523557 -0.08743296 -0.08934984 -0.08892074
  -0.09025587 -0.0914537 ]
 [ 0.0054947   0.01475245  0.02415417  0.02743294  0.02644113  0.02251024
   0.01609709  0.00768044 -0.00238055 -0.01389305 -0.0268073  -0.04109819
  -0.05645297 -0.07154196 -0.08516348 -0.09751908 -0.0980204  -0.09833603
  -0.10004038 -0.1013463 ]
 [ 0.00281277  0.01332682  0.02294806  0.02592149  0.02476644  0.02049344
   0.01358043  0.00451554 -0.00634811 -0.01882738 -0.03286431 -0.0484184
  -0.06493292 -0.08083441 -0.09560092 -0.1072927  -0.10687941 -0.10851633
  -0.11028595 -0.11171767]
 [-0.00043094  0.01169626  0.02140314  0.0242919   0.02303245  0.01844064
   0.0110311   0.00129638 -0.01040482 -0.02389542 -0.03910806 -0.05595139
  -0.07361709 -0.09040025 -0.10652318 -0.1175938  -0.11723574 -0.11925148
  -0.1210045  -0.1225615 ]
 [-0.00385078  0.00983124  0.01959183  0.02257109  0.02125106  0.01635793
   0.00844675 -0.00198127 -0.01455755 -0.02910407 -0.04554264 -0.06367873
  -0.082547   -0.10032751 -0.11779356 -0.12739715 -0.12877011 -0.13045601
  -0.13218685 -0.13388904]
 [-0.00724698  0.00766924  0.01758632  0.02077336  0.01942997  0.01424776
   0.00582443 -0.00532276 -0.01881234 -0.03445989 -0.05215934 -0.07162341
  -0.09174694 -0.11067997 -0.12923782 -0.13768404 -0.14026807 -0.14209
  -0.14383741 -0.14571719]
 [-0.01036832  0.00524757  0.01542126  0.01890926  0.01757338  0.0121101
   0.00316059 -0.00873362 -0.02317456 -0.03996405 -0.05894785 -0.07981325
  -0.10125655 -0.12145041 -0.14078954 -0.14912548 -0.15187506 -0.15415382
  -0.15596709 -0.15805947]]",table of aero torque coefficient
sse_tune.tune_rosco.pitch_vector,rad,"[-0.08726646 -0.05511566 -0.02296486  0.00918594  0.04133675  0.07348755
  0.10563835  0.13778915  0.16993995  0.20209076  0.23424156  0.26639236
  0.29854316  0.33069396  0.36284477  0.39499557  0.42714637  0.45929717
  0.49144797  0.52359878]",Pitch vector used
sse_tune.tune_rosco.tsr_vector,,"[ 2.          2.52631579  3.05263158  3.57894737  4.10526316  4.63157895
  5.15789474  5.68421053  6.21052632  6.73684211  7.26315789  7.78947368
  8.31578947  8.84210526  9.36842105  9.89473684 10.42105263 10.94736842
 11.47368421 12.        ]",TSR vector used
sse_tune.tune_rosco.U_vector,m/s,[4.],Wind speed vector used
sse_tune.airfoils_Ctrl,,"[[[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  0.  0. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  4.5 9. ]]

 [[0.  0.  0. ]]]",Airfoil control paremeter (i.e. flap angle or LEMS height)
sse_tune.tune_rosco.shearExp,,[0.],shear exponent
sse_tune.tune_rosco.delta_max_pos,,[9.],1D array of the max DAC parameter values.
sse_tune.tune_rosco.zeta_pc,,[1.2],Pitch controller damping ratio
sse_tune.tune_rosco.omega_pc,rad/s,[0.1],Pitch controller natural frequency
sse_tune.tune_rosco.stability_margin,,[0.],Maximum stability margin for robust scheduling
sse_tune.tune_rosco.omega_pc_max,,[0.],Maximum allowable omega margin for robust scheduling
sse_tune.tune_rosco.twr_freq,Hz,[0.20705663],Tower natural frequency
sse_tune.tune_rosco.ptfm_freq,rad/s,[0.2],Platform natural frequency
sse_tune.tune_rosco.Kp_float,s,[0.],Floating feedback gain
sse_tune.tune_rosco.zeta_vs,,[0.5],Generator torque controller damping ratio
sse_tune.tune_rosco.omega_vs,rad/s,[0.1],Generator torque controller natural frequency
sse_tune.tune_rosco.dac_kp_norm,,[0.83722973],Flap controller normalized gain
sse_tune.tune_rosco.dac_tau,s,[12.25817422],Flap controller integral gain time constant
sse_tune.tune_rosco.IPC_Kp1p,s,[0.],Individual pitch controller 1p proportional gain
sse_tune.tune_rosco.IPC_Ki1p,,[0.],Individual pitch controller 1p integral gain
sse_tune.tune_rosco.nSector,Unavailable,4,number of sectors to divide rotor face into in computing thrust and power
sse_tune.tune_rosco.tiploss,Unavailable,True,include Prandtl tip loss model
sse_tune.tune_rosco.hubloss,Unavailable,True,include Prandtl hub loss model
sse_tune.tune_rosco.wakerotation,Unavailable,True,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
sse_tune.tune_rosco.usecd,Unavailable,True,use drag coefficient in computing induction factors
aeroelastic.V_cutin,m/s,[4.],Minimum wind speed where turbine operates (cut-in)
aeroelastic.V_cutout,m/s,[25.],Maximum wind speed where turbine operates (cut-out)
aeroelastic.Vrated,m/s,[8.470311],rated wind speed
aeroelastic.hub_height,m,[140.],hub height
aeroelastic.Rtip,m,[102.82623224],dimensional radius of tip
aeroelastic.shearExp,,[0.2],shear exponent
aeroelastic.r,m,"[  3.           6.44228387   9.88456774  13.32685161  16.76913548
  20.21141935  23.65370322  27.09598709  30.53827096  33.98055483
  37.4228387   40.86512257  44.30740645  47.74969032  52.91311612
  54.63425806  58.07654193  61.5188258   64.96110967  68.40339354
  71.84567741  75.28796128  78.73024515  82.17252902  85.61481289
  89.05709676  92.49938063  95.9416645   97.83492063 102.82623224]",radial positions. r[0] should be the hub location                 while r[-1] should be the blade tip. Any number                 of locations can be specified between these in ascending order.
aeroelastic.le_location,,"[0.5        0.49816955 0.48992341 0.47666778 0.47368421 0.47368421
 0.47368421 0.47368421 0.47368421 0.47368421 0.47368421 0.46808511
 0.4612069  0.44196429 0.4267379  0.42095775 0.41010371 0.40195138
 0.39522149 0.39116278 0.3905275  0.39134099 0.39523274 0.40007425
 0.40504215 0.41113787 0.41946139 0.43201533 0.44367466 0.5       ]",Leading-edge positions from a reference blade axis (usually blade pitch axis). Locations are normalized by the local chord length. Positive in -x direction for airfoil-aligned coordinate system
aeroelastic.beam:Tw_iner,m,"[30.55250184 42.90723035 17.8268419  20.00845369 18.18534986 15.41260271
 12.1355827   9.07943399  7.33847337  7.23825417  7.24796626  7.21930544
  7.16106879  6.99058306  6.144749    5.81652773  5.1008489   4.51016557
  3.99426011  3.48226652  3.83492262  2.16326579  1.11604251 -0.16420369
 -1.42031046 -2.45873493 -3.2903616  -3.94760168 -4.24401546 -4.58284898]",y-distance to elastic center from point about which above structural properties are computed
aeroelastic.beam:rhoA,kg/m,"[2266.13610201 1858.30111809 1560.06645716 1299.85406619 1001.87824876
  816.63840464  695.96678768  608.20368324  544.60978033  500.76647216
  472.03298432  450.19691479  432.24320936  409.21977234  376.83640085
  347.04287825  314.02672281  277.20220785  241.50886974  209.37995834
  638.9051686   150.87705908  124.659299    101.88440269   79.52988358
   61.87548205   47.30555123   33.97308932   24.39934959   10.13257764]",mass per unit length
aeroelastic.beam:EIyy,N*m**2,"[7.98160892e+10 7.33959222e+10 5.81399410e+10 4.00367558e+10
 2.70099404e+10 1.91997478e+10 1.49863157e+10 1.15931391e+10
 9.33060945e+09 8.10115336e+09 7.17925744e+09 6.28862581e+09
 5.49771351e+09 4.60742643e+09 3.42601983e+09 2.91056856e+09
 2.23610168e+09 1.70248106e+09 1.27653112e+09 9.39385289e+08
 1.01230550e+09 4.65828828e+08 3.09705781e+08 1.94181680e+08
 1.10159978e+08 5.77396501e+07 2.73058116e+07 1.08324472e+07
 4.80595101e+06 4.74261815e+05]",flatwise stiffness (bending about y-direction of airfoil aligned coordinate system)
aeroelastic.beam:EIxx,N*m**2,"[7.98178777e+10 7.04244886e+10 6.39156662e+10 5.10973607e+10
 3.93367296e+10 3.19899325e+10 2.75460365e+10 2.44750599e+10
 2.24622519e+10 2.11788391e+10 2.03053898e+10 1.93839289e+10
 1.83711682e+10 1.67938448e+10 1.39539106e+10 1.17135673e+10
 9.38905359e+09 7.10260426e+09 5.22132113e+09 3.76085033e+09
 3.61837822e+09 1.83286331e+09 1.24383627e+09 8.23715501e+08
 4.97031438e+08 2.93618932e+08 1.64308766e+08 8.34826254e+07
 4.12088281e+07 5.96241152e+06]",edgewise stiffness (bending about :ref:`x-direction of airfoil aligned coordinate system <blade_airfoil_coord>`)
aeroelastic.x_tc,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",x-distance to the neutral axis (torsion center)
aeroelastic.y_tc,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",y-distance to the neutral axis (torsion center)
aeroelastic.flap_mode_shapes,,"[[ 1.09977550e-02  1.66693382e+00 -5.10127637e-01 -6.30369338e-01
   4.62565404e-01]
 [-9.16187207e-02 -1.59355189e+00  2.65235946e+00 -2.32671021e+00
   2.35952136e+00]
 [ 1.05431424e+00 -4.95932224e+00  2.34527454e+01 -4.65946296e+01
   2.80468921e+01]
 [ 3.41923029e+01 -2.50457126e+02  6.41928817e+02 -6.92013256e+02
   2.67349262e+02]
 [ 1.64860321e+01 -1.44289474e+02  4.16031530e+02 -4.86469330e+02
   1.99241242e+02]]","6-degree polynomial coefficients of mode shapes in the flap direction (x^2..x^6, no linear or constant term)"
aeroelastic.edge_mode_shapes,,"[[  0.37775351   3.88206982  -7.91869521   6.5976799   -1.93880802]
 [ -0.32551637  -4.86967591  15.73910793 -16.61700286   7.07308721]
 [  2.61171285  -9.30776137  17.5190475  -24.67807079  14.8550718 ]
 [ -1.78562685  29.71284896 -92.75285988 100.11282258 -34.28718481]
 [ -7.31642787  29.59514148 -20.39649604 -31.67198632  30.78976875]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
aeroelastic.gearbox_efficiency,,[0.95],Gearbox efficiency
aeroelastic.gearbox_ratio,,[96.76],Gearbox ratio
aeroelastic.platform_displacement,m**3,[1.],Volumetric platform displacement
aeroelastic.generator_efficiency,,[0.9025],Generator efficiency
aeroelastic.max_pitch_rate,deg/s,[1.99898609],Maximum allowed blade pitch rate
aeroelastic.fore_aft_modes,,"[[ 1.15019688e+00 -9.40921789e-02 -1.17785885e-02 -5.18491597e-03
  -3.91411932e-02]
 [-6.35047498e+01  5.61711934e+01  9.05006380e+00  5.41918483e+00
  -6.13569225e+00]
 [-5.35823454e+01  6.87828164e+01  6.01338659e+01 -8.95914293e+01
   1.52570923e+01]]","6-degree polynomial coefficients of mode shapes in the flap direction (x^2..x^6, no linear or constant term)"
aeroelastic.side_side_modes,,"[[ 1.13870672e+00 -8.69472800e-02 -9.44923412e-03 -6.00262890e-03
  -3.63075757e-02]
 [ 6.50211047e+02 -5.30832466e+02 -8.57147467e+01 -5.67512082e+01
   2.40570042e+01]
 [-4.58753066e+01  5.75758367e+01  4.32045136e+01 -6.04386727e+01
   6.53362889e+00]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
aeroelastic.mass_den,kg/m,"[9639.07703025 8622.61477518 7649.74157786 6795.5079111  5999.84470102
 5206.69361172 4422.55525651 3685.97686814 3055.5302826  2692.2359476 ]",sectional mass per unit length
aeroelastic.foreaft_stff,N*m**2,"[1.01821114e+12 9.12841091e+11 8.11547430e+11 7.22249667e+11
 6.38774646e+11 5.55275245e+11 4.72442067e+11 3.94376995e+11
 3.21393234e+11 2.61329505e+11]",sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
aeroelastic.sideside_stff,N*m**2,"[1.01821114e+12 9.12841091e+11 8.11547430e+11 7.22249667e+11
 6.38774646e+11 5.55275245e+11 4.72442067e+11 3.94376995e+11
 3.21393234e+11 2.61329505e+11]",sectional side-side bending stiffness per unit length about the Y_E elastic axis
aeroelastic.tor_stff,N*m**2,"[8.07441433e+11 7.23882985e+11 6.43557112e+11 5.72743986e+11
 5.06548295e+11 4.40333269e+11 3.74646560e+11 3.12740957e+11
 2.54864834e+11 2.07234298e+11]",torsional stiffness per unit length about the Y_E elastic axis
aeroelastic.tor_freq,Hz,[6.58121545],First tower torsional frequency
aeroelastic.tower_outer_diameter,m,"[6.         6.         6.         6.         6.         6.
 6.         6.         6.         5.89079213 5.53032592]",cylinder diameter at corresponding locations
aeroelastic.tower_z,m,[  0.   13.7  27.4  41.1  54.8  68.5  82.2  95.9 109.6 123.3 137. ],z-coordinates of tower and monopile used in TowerSE
aeroelastic.tower_z_full,m,"[  0.           4.56666667   9.13333333  13.7         18.26666667
  22.83333333  27.4         31.96666667  36.53333333  41.1
  45.66666667  50.23333333  54.8         59.36666667  63.93333333
  68.5         73.06666667  77.63333333  82.2         86.76666667
  91.33333333  95.9        100.46666667 105.03333333 109.6
 114.16666667 118.73333333 123.3        127.86666667 132.43333333
 137.        ]",z-coordinates of tower and monopile used in TowerSE
aeroelastic.tower_height,m,[137.],tower height from the tower base
aeroelastic.tower_base_height,m,[0.],tower base height from the ground or mean sea level
aeroelastic.tower_cd,,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],drag coefficients along tower height at corresponding locations
aeroelastic.tower_I_base,kg*m**2,"[3.33148093e+09 3.33148093e+09 6.98473441e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",tower moments of inertia at the tower base
aeroelastic.hub_system_cm,m,[0. 0. 0.],center of mass of the hub relative to tower to in yaw-aligned c.s.
aeroelastic.hub_system_I,kg*m**2,"[310937.76649138 195702.58509404 195702.58509404      0.
      0.              0.        ]","mass moments of Inertia of hub [Ixx, Iyy, Izz, Ixy, Ixz, Iyz] around its center of mass in yaw-aligned c.s."
aeroelastic.hub_system_mass,kg,[37230.20943576],mass of hub system
aeroelastic.above_yaw_mass,kg,[208377.8314802],Mass of the nacelle above the yaw system
aeroelastic.yaw_mass,kg,[17718.78604336],Mass of yaw system
aeroelastic.rna_I_TT,kg*m**2,"[ 2.09706990e+08  1.33575761e+08  1.32489886e+08 -2.28175369e+01
 -6.39261313e+05  4.82414271e+04]"," moments of Inertia for the rna [Ixx, Iyy, Izz, Ixy, Ixz, Iyz] about the tower top"
aeroelastic.nacelle_cm,m,[ 0.11826281 -0.15076109  1.5298283 ],"Center of mass of the component in [x,y,z] for an arbitrary coordinate system"
aeroelastic.nacelle_I_TT,kg*m**2,"[ 1.47036809e+06  1.94169392e+06  2.03188404e+06  1.36424205e-12
 -1.00847282e+05  4.85365910e+04]"," moments of Inertia for the nacelle [Ixx, Iyy, Izz, Ixy, Ixz, Iyz] about the tower top"
aeroelastic.distance_tt_hub,m,[3.],Vertical distance from tower top plane to hub flange
aeroelastic.twr2shaft,m,[0.],Vertical distance from tower top plane to shaft start
aeroelastic.GenIner,kg*m**2,[11455.18042742],Moments of inertia for the generator about high speed shaft
aeroelastic.drivetrain_spring_constant,N*m/rad,[2.78133415e+08],Moments of inertia for the generator about high speed shaft
aeroelastic.drivetrain_damping_coefficient,N*m*s/rad,[2399801.577498],Equivalent damping coefficient for the drivetrain system
aeroelastic.ref_axis_blade,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.45896086e-02  0.00000000e+00  3.44814717e+00]
 [ 5.22230768e-02  0.00000000e+00  6.89629433e+00]
 [ 1.08141891e-01  0.00000000e+00  1.03444415e+01]
 [ 1.74250500e-01  0.00000000e+00  1.37925887e+01]
 [ 2.41136773e-01  0.00000000e+00  1.72407358e+01]
 [ 3.00085581e-01  0.00000000e+00  2.06888830e+01]
 [ 3.42651213e-01  0.00000000e+00  2.41370302e+01]
 [ 3.59821072e-01  0.00000000e+00  2.75851773e+01]
 [ 3.47586472e-01  0.00000000e+00  3.10333245e+01]
 [ 3.14508104e-01  0.00000000e+00  3.44814717e+01]
 [ 2.66858145e-01  0.00000000e+00  3.79296188e+01]
 [ 2.10870490e-01  0.00000000e+00  4.13777660e+01]
 [ 1.40477297e-01  0.00000000e+00  4.48259132e+01]
 [-2.63529326e-02  0.00000000e+00  4.99981339e+01]
 [-9.07529186e-02  0.00000000e+00  5.17222075e+01]
 [-2.35123811e-01  0.00000000e+00  5.51703547e+01]
 [-3.94137332e-01  0.00000000e+00  5.86185018e+01]
 [-5.85777112e-01  0.00000000e+00  6.20666490e+01]
 [-8.05291806e-01  0.00000000e+00  6.55147962e+01]
 [-1.04516990e+00  0.00000000e+00  6.89629433e+01]
 [-1.29121723e+00  0.00000000e+00  7.24110905e+01]
 [-1.56372970e+00  0.00000000e+00  7.58592376e+01]
 [-1.85903588e+00  0.00000000e+00  7.93073848e+01]
 [-2.17067421e+00  0.00000000e+00  8.27555320e+01]
 [-2.49837779e+00  0.00000000e+00  8.62036791e+01]
 [-2.84335536e+00  0.00000000e+00  8.96518263e+01]
 [-3.20952152e+00  0.00000000e+00  9.30999735e+01]
 [-3.42254912e+00  0.00000000e+00  9.49964544e+01]
 [-4.00000000e+00  0.00000000e+00  9.99962678e+01]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
aeroelastic.chord,m,"[4.5        4.51653455 4.59255455 4.72026865 4.75       4.75
 4.75       4.75       4.75       4.75       4.75       4.7
 4.64       4.48       4.19455297 4.07109567 3.83078655 3.59377787
 3.3535724  3.10972681 2.86394905 2.61780457 2.37255549 2.12536608
 1.87360817 1.6133977  1.34551447 1.07050448 0.9160029  0.5       ]",chord at airfoil locations
aeroelastic.theta,deg,"[20.00195663 18.69281516 17.2377519  15.65295517 13.95461328 11.79009053
  9.03064626  6.5144527   5.09276755  5.0077812   5.0116826   5.01638643
  5.01964587  4.95593318  4.3457029   4.06268279  3.50206274  3.05626337
  2.68371866  2.31332694  1.88993479  1.35002871  0.55363202 -0.40943438
 -1.37877001 -2.1966151  -2.89699591 -3.548985   -3.88445878 -4.67882768]",twist at airfoil locations
aeroelastic.rthick,,"[1.         0.9904762  0.90583552 0.76920637 0.62433185 0.51495506
 0.45652477 0.40898037 0.37373472 0.35299758 0.33854388 0.32716954
 0.31781339 0.30941425 0.29659297 0.29250549 0.28490061 0.27785301
 0.27111927 0.26445597 0.25761968 0.250367   0.2424545  0.23345852
 0.22353126 0.21373557 0.20477992 0.19617537 0.19158286 0.18      ]",relative thickness of airfoil distribution
aeroelastic.ac,,"[0.5        0.49575018 0.45884901 0.40205541 0.34747208 0.31720171
 0.316      0.316      0.316      0.31553758 0.31111337 0.30358636
 0.29491462 0.28705623 0.28044793 0.2789807  0.27622217 0.27372193
 0.27150848 0.26961032 0.26805593 0.26687382 0.26609246 0.26570208
 0.26548576 0.2651602  0.26287948 0.25487265 0.24855214 0.228     ]",aerodynamic center of airfoil distribution
aeroelastic.pitch_axis,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
aeroelastic.Rhub,m,[3.],dimensional radius of hub
aeroelastic.airfoils_cl,,"[[[[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  ...

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.00226138  0.00226138  0.00226138]]

  [[ 0.00452276  0.00452276  0.00452276]]

  ...

  [[-0.00452276 -0.00452276 -0.00452276]]

  [[-0.00226138 -0.00226138 -0.00226138]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.02249114  0.02249114  0.02249114]]

  [[ 0.04498229  0.04498229  0.04498229]]

  ...

  [[-0.04498229 -0.04498229 -0.04498229]]

  [[-0.02249114 -0.02249114 -0.02249114]]

  [[ 0.          0.          0.        ]]]


 ...


 [[[ 0.          0.          0.        ]]

  [[ 0.0646428   0.1001559   0.08453631]]

  [[ 0.1292856   0.20031179  0.16907263]]

  ...

  [[-0.1292856  -0.20031179 -0.16907263]]

  [[-0.0646428  -0.1001559  -0.08453631]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.1168486   0.10665333  0.09069508]]

  [[ 0.2336972   0.21330666  0.18139016]]

  ...

  [[-0.2336972  -0.21330666 -0.18139016]]

  [[-0.1168486  -0.10665333 -0.09069508]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.20244966  0.20244966  0.20244966]]

  [[ 0.40489932  0.40489932  0.40489932]]

  ...

  [[-0.40489932 -0.40489932 -0.40489932]]

  [[-0.20244966 -0.20244966 -0.20244966]]

  [[ 0.          0.          0.        ]]]]","lift coefficients, spanwise"
aeroelastic.airfoils_cd,,"[[[[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  ...

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]]


 [[[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  ...

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]]


 [[[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  ...

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]]


 ...


 [[[0.11524771 0.15920291 0.19802924]]

  [[0.1154285  0.1594353  0.19831109]]

  [[0.11594555 0.16011029 0.1991453 ]]

  ...

  [[0.11594555 0.16011029 0.1991453 ]]

  [[0.1154285  0.1594353  0.19831109]]

  [[0.11524771 0.15920291 0.19802924]]]


 [[[0.11574139 0.16061717 0.20021618]]

  [[0.11592295 0.16085163 0.20050114]]

  [[0.11644222 0.16153261 0.20134456]]

  ...

  [[0.11644222 0.16153261 0.20134456]]

  [[0.11592295 0.16085163 0.20050114]]

  [[0.11574139 0.16061717 0.20021618]]]


 [[[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  ...

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]]]","drag coefficients, spanwise"
